artist.familiarity,artist.hotttnesss,artist.id,artist.latitude,artist.location,artist.longitude,artist.name,artist.similar,artist.terms,artist.terms_freq,release.id,release.name,song.artist_mbtags,song.artist_mbtags_count,song.bars_confidence,song.bars_start,song.beats_confidence,song.beats_start,song.duration,song.end_of_fade_in,song.hotttnesss,song.id,song.key,song.key_confidence,song.loudness,song.mode,song.mode_confidence,song.start_of_fade_out,song.tatums_confidence,song.tatums_start,song.tempo,song.time_signature,song.time_signature_confidence,song.title,song.year
0.581793766,0.401997543,ARD7TVE1187B99BFB1,0,0,0,Casual,0,hip hop,1,300848,0,0,0,0.643,0.58521,0.834,0.58521,218.93179,0.247,0.60211999,SOMZWCG12A8C13C480,1,0.736,-11.197,0,0.636,218.932,0.779,0.28519,92.198,4,0.778,0,0
0.630630038,0.417499645,ARMJAGH1187FB546F3,35.14968,0,-90.04892,The Box Tops,0,blue-eyed soul,1,300822,0,0,1,0.007,0.71054,1,0.20627,148.03546,0.148,-1,SOCIWDW12A8C13D406,6,0.169,-9.843,0,0.43,137.915,0.969,0.20627,121.274,4,0.384,0,1969
0.487356791,0.343428378,ARKRRTF1187B9984DA,0,0,0,Sonora Santanera,0,salsa,1,514953,0,0,0,0.98,0.73152,0.98,0.73152,177.47546,0.282,-1,SOXVLOJ12AB0189215,8,0.643,-9.689,1,0.565,172.304,0.482,0.42132,100.07,1,0,0,0
0.630382334,0.454231157,AR7G5I41187FB4CE6C,0,0,0,Adam Ant,0,pop rock,0.988583863,287650,0,0,1,0.017,1.30621,0.809,0.81002,233.40363,0,-1,SONHOTT12A8C13493C,0,0.751,-9.013,1,0.749,217.124,0.601,0.56254,119.293,4,0,0,1982
0.651045661,0.401723686,ARXR32B1187FB57099,0,0,0,Gob,0,pop punk,0.887288301,611336,0,0,0,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.604500739,SOFSOCN12A8C143F5D,2,0.092,-4.501,1,0.371,198.699,1,0.13576,129.738,4,0.562,0,2007
0.535292736,0.385470551,ARKFYS91187B98E58F,0,0,0,Jeff And Sheri Easter,0,southern gospel,1,41838,0,0,0,0.121,1.17118,0.438,0.74856,267.7024,2.264,-1,SOYMRWW12A6D4FAB14,5,0.635,-9.323,1,0.557,254.27,0.136,0.53929,147.782,3,0.454,0,0
0.556495602,0.261941177,ARD0S291187B9B7BF5,0,0,0,Rated R,0,breakbeat,1,25824,0,0,0,0.709,0.27253,0.709,0.27253,114.78159,0.096,-1,SOMJBYD12A6D4F8557,1,0,-17.302,1,0,114.782,0.467,0.05611,111.787,1,0,0,0
0.801136447,0.605507136,AR10USD1187B99F3F1,0,0,0,Tweeterfriendly Music,0,post-hardcore,0.999818045,8876,0,0,0,0.142,0.65428,0.234,0.65428,189.57016,0.319,-1,SOHKNRJ12A6701D1F8,4,0,-11.642,0,0.16,181.023,0.292,0.36129,101.43,3,0.408,0,0
0.426667857,0.332275747,AR8ZCNI1187B9A069B,0,0,0,Planet P Project,0,new wave,0.959766246,358182,0,0,0,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.265861049,SOIAZJW12AB01853F1,4,0.717,-13.496,1,0.652,258.99,0.121,1.22595,86.643,4,0.487,0,1984
0.550513698,0.422705641,ARNTLGG11E2835DDB9,0,0,0,Clp,0,breakcore,0.915601748,692313,0,0,0,0.047,0.62445,1,0.09933,266.39628,0.084,-1,SOUDSGM12AC9618304,7,0.053,-6.697,0,0.473,261.747,1,0.09933,114.041,4,0.878,0,0
0.360031167,0.296268954,ARGSJW91187B9B1D6B,35.21962,0,-80.01955,JennyAnyKind,0,alternative rock,0.956080751,539081,0,0,0,0.873,0.11194,0.873,0.11194,218.77506,2.125,0,SOQHXMF12AB0182363,5,0.354,-10.021,0,0.485,207.012,0.229,0.11194,146.765,1,0,0,0
0.545159296,0.351555861,ARC43071187B990240,0,0,0,Wayne Watson,0,ccm,1,163874,0,0,0,0.018,1.45439,1,0.42896,245.21098,0.357,0.265861049,SOKEJEJ12A8C13E0D0,7,0.07,-7.545,1,0.686,227.48,0.728,0.1727,117.975,4,0.835,0,0
0.577508974,0.37948217,ARL7K851187B99ACD2,0,0,0,Andy Andy,0,bachata,1,575792,0,0,0,0.013,1.2229,0.699,0.29639,226.35057,0,0,SOMUYGI12AB0188633,9,0.205,-6.632,1,0.305,221.553,1,0.06508,130.04,4,0,0,0
0.085512047,0.251936525,ARHHO3O1187B989413,0,0,0,Bob Azzam,0,chanson,0.977114901,815863,0,0,0,1,0.46223,1,0.46223,191.84281,0.38,0,SORAMLE12AB017C8B0,10,0,-7.75,0,0.198,188.424,0.774,0.23506,137.334,1,0.319,0,0
0.776675856,0.553071992,ARIK43K1187B9AE54C,0,0,0,Lionel Richie,0,quiet storm,1,25811,0,0,1,0.191,0.82842,1,0.82842,307.3824,0.612,-1,SOBONFF12A6D4F84D8,3,0.524,-8.346,1,0.533,296.658,0.389,0.58901,125.197,3,0.211,0,1986
0.636423645,0.447935481,ARD842G1187B997376,43.64856,0,-79.38533,Blue Rodeo,0,country rock,1,135122,0,0,2,0.507,1.32118,0,0.30065,491.12771,0,0.405115722,SOHUOAP12A8AE488E9,7,1,-8.576,1,0.829,486.034,0.377,0.05047,119.826,4,0.756,0,1987
0.419943148,0.330806357,ARIG6O41187B988BDD,37.16793,0,-95.84502,Richard Souther,0,chill-out,0.830058031,149958,0,0,0,0.125,1.19076,0.768,0.24795,228.5971,0.223,0.334706549,SOUQQEA12A8C134B1B,8,0.041,-16.11,1,0.516,217.426,0.767,0.08584,127.756,5,0.579,0,0
0.363280571,0.306676094,AR1ZHYZ1187FB3C717,0,0,0,Faiz Ali Faiz,0,qawwali,1,535188,0,0,0,0.443,0.90668,0,0.27615,599.24853,1.193,-1,SOILPQQ12AB017E82A,6,0.06,-8.032,1,0.346,591.999,0.48,0.12168,99.273,4,0.158,0,0
0.707199764,0.51346329,ARYKCQI1187FB3B18F,0,0,0,Tesla,0,hard rock,1,372309,0,0,0,0.03,0.8752,1,0.05728,290.29832,0.145,0.684136191,SOXLBJT12A8C140925,7,0.725,-5.271,1,0.756,285.605,0.238,0.05728,150.062,4,0.931,0,2004
0.32031437,0,ARNPAGP1241B9C7FD4,0,0,0,lextrical,0,indietronica,1,541101,0,0,0,0.026,0.66829,0.821,0.22335,165.69424,0.162,0,SOZVMJI12AB01808AF,7,0.011,-6.787,1,0.568,157.391,0.682,0.22335,138.331,4,0.127,0,0
0.39413854,0.291539727,ARQGYP71187FB44566,34.31109,0,-94.02978,Jimmy Wakely,0,classic country,1,605134,0,0,0,0.163,0.12236,0,0.12236,151.84934,2.827,-1,SOWTBJW12AC468AC6E,1,0.799,-15.221,1,0.716,146.199,0.617,0.12236,86.186,3,0.929,0,0
0.489816269,0.328553015,ARI3BMM1187FB4255E,38.8991,0,-77.029,Alice Stuart,0,electric blues,0.905093008,239740,0,0,0,0.899,0.46253,0.899,0.46253,220.78649,0.206,0,SOBEBDG12A58A76D60,11,0.809,-8.514,1,0.521,207.656,0.841,0.16228,110.382,1,0.192,0,0
0.677420465,0.378254686,AR5KOSW1187FB35FF4,49.80388,0,15.47491,Elena,0,uk garage,0.935319892,386995,0,0,0,0.552,1.06937,0,0.51434,269.58322,0,0.313562114,SOZCTXZ12AB0182364,2,0.596,-8.05,1,0.666,256.168,0.978,0.51434,111.874,4,1,0,0
0.839962768,0.541888972,ARMAC4T1187FB3FA4C,40.82624,0,-74.47995,The Dillinger Escape Plan,0,math-core,0.944381208,223365,0,0,1,0.027,1.06698,0.931,0.33578,207.77751,0.061,0.666527846,SOBBUGU12A8C13E95D,7,0.381,-4.264,1,0.453,204.696,0.654,0.15349,166.862,4,0,0,2004
0.435415818,0.306242264,AR47JEX1187B995D81,37.83721,0,-94.35868,SUE THOMPSON,0,pop rock,0.979853486,652784,0,0,0,0.006,0.70311,0.587,0.26706,124.86485,0,0.495293621,SOBLGCN12AB0183212,10,0.697,-12.332,1,0.541,115.74,1,0.04025,137.522,4,0,0,1985
0.6090637,0.363651365,ARGIWFO1187B9B55B7,0,0,0,Five Bolt Main,0,post-grunge,0.953673906,45730,0,0,0,0.857,0.08901,0.857,0.08901,225.09669,0,0.375984302,SOPSWQW12A6D4F8781,7,0.53,-5.908,1,0.512,225.097,0.24,0.08901,164.672,1,0,0,0
0.550513698,0.422705641,ARNTLGG11E2835DDB9,0,0,0,Clp,0,breakcore,0.915601748,672016,0,0,0,0.063,0.93643,1,0.45716,338.31138,0,-1,SOZQDIU12A58A7BCF6,6,0.687,-6.486,0,0.486,338.311,0.956,0.21693,125.006,4,1,0,0
0.459797129,0.349912612,ARDNS031187B9924F0,32.67828,0,-83.22295,Tim Wilson,0,filk,1,160881,0,0,0,0,0.52648,0,0.52648,186.48771,1.083,-1,SONYPOM12A8C13B2D7,5,0.762,-4.516,1,0.539,175.467,0.231,0.07391,90.022,1,0.971,0,2005
0.588827101,0.379671125,AROUOZZ1187B9ABE51,40.79195,0,-73.94512,Willie Bobo,0,latin jazz,0.965406124,59744,0,0,0,0.02,1.01964,1,0.06314,168.25424,0.2,-1,SOBZBAZ12A6D4F8742,8,0.812,-9.616,1,0.736,161.89,0.959,0.06314,127.025,4,0.792,0,1997
0.396455254,0.299230368,ARH4Z031187B9A71F2,40.73197,0,-74.17418,Faye Adams,0,jump blues,1,373723,0,0,0,0.096,0.97531,0.987,0.3393,156.39465,0.562,0,SOVYKGO12AB0187199,8,0.569,-18.051,1,0.495,150.634,0.67,0.3393,95.957,3,0.689,0,1961
0.706827671,0.416173065,ARB29H41187B98F0EF,41.88415,0,-87.63241,Terry Callier,0,soul jazz,0.985011245,228326,0,0,1,0.145,0.96908,0.708,0.42073,342.56934,0.063,0.413739836,SOGNCJP12A58A80271,6,0.381,-11.939,1,0.538,333.154,0.462,0.13836,110.189,3,0.353,0,1972
0.560557984,0.452789477,AR1Y2PT1187FB5B9CE,27.94017,0,-82.32547,John Wesley,0,disco,1,463514,0,0,0,0.042,0.56075,0,0.56075,484.62322,28.172,0.377531645,SOLLHMX12AB01846DC,4,0.283,-15.335,0,0.363,480.363,0.057,0.56075,138.007,4,0.893,0,0
0.640807102,0.418216518,ARAJPHH1187FB5566A,40.7038,0,-73.83168,The Shangri-Las,0,doo-wop,0.922774628,643400,0,0,0,0.812,0.10131,0.812,0.10131,164.80608,0,0.443291312,SOYTPEP12AB0180E7B,10,0.254,-10.922,1,0.042,156.177,0.879,0.10131,130.1,1,0,0,1964
0.523714637,0.384611084,AR0RCMP1187FB3F427,30.08615,0,-94.10158,Billie Jo Spears,0,classic country,0.984993496,663761,0,0,0,0,0.24118,0,0.24118,133.32853,0,0,SOGXHEG12AB018653E,4,0.384,-9.983,1,0.402,130.009,0.515,0.04851,160.839,1,0,0,1992
0.79360508,0.426317956,AREBBGV1187FB523D2,0,0,0,Mike Jones (Featuring CJ_ Mello & Lil' Bran),0,rap,1,12882,0,0,0,0.616,0.40866,0.616,0.40866,173.66159,0,-1,SOOLYAZ12A6701F4A6,7,0.299,-7.762,1,0.464,164.908,0.536,0.05133,41.993,1,0,0,0
0.501544777,0.392733676,ARGUVEV1187B98BA17,0,0,0,Sierra Maestra,0,charanga,1,270281,0,0,0,0.291,0.76895,0.219,0.09309,313.12934,0,-1,SOGOSOV12AF72A285E,9,0.724,-9.512,1,0.364,307.688,0.372,0.09309,189.646,3,0.674,0,1997
0.809323793,0.488019842,ARPQ4Z01187FB3A736,29.42449,0,-98.49462,Butthole Surfers,0,noise rock,1,244586,0,0,1,0.035,0.2438,0.604,0.2438,450.84689,0.467,0.593943076,SOJXVAH12A8C139700,4,0.726,-9.063,0,0.367,426.104,0.267,0.09307,130.586,4,0.42,0,0
0.632559542,0.41168896,ARNQAVF11F4C844C04,0,0,0,Despina Vandi,0,dance pop,1,157648,0,0,0,0.791,0.10104,0.895,0.10104,303.09832,0.067,-1,SOVXMTN12A8C135A18,8,0.532,-8.879,0,0.516,294.818,0.764,0.10104,128.292,4,0.83,0,0
